Goals: ((1, 1), (1, 2), (1, 3))		 UNSAT
Goals: ((1, 1), (1, 2), (1, 4))		 UNSAT
Goals: ((1, 1), (1, 2), (1, 5))		 UNSAT
Goals: ((1, 1), (1, 3), (1, 2))		 UNSAT
Goals: ((1, 1), (1, 3), (1, 4))		 UNSAT
Goals: ((1, 1), (1, 3), (1, 5))		 SAT
Goals: ((1, 1), (1, 4), (1, 2))		 UNSAT
Goals: ((1, 1), (1, 4), (1, 3))		 UNSAT
Goals: ((1, 1), (1, 4), (1, 5))		 UNSAT
Goals: ((1, 1), (1, 5), (1, 2))		 UNSAT
Goals: ((1, 1), (1, 5), (1, 3))		 SAT
Goals: ((1, 1), (1, 5), (1, 4))		 UNSAT
Goals: ((1, 2), (1, 1), (1, 3))		 UNSAT
Goals: ((1, 2), (1, 1), (1, 4))		 UNSAT
Goals: ((1, 2), (1, 1), (1, 5))		 UNSAT
Goals: ((1, 2), (1, 3), (1, 1))		 UNSAT
Goals: ((1, 2), (1, 3), (1, 4))		 UNSAT
Goals: ((1, 2), (1, 3), (1, 5))		 UNSAT
Goals: ((1, 2), (1, 4), (1, 1))		 UNSAT
Goals: ((1, 2), (1, 4), (1, 3))		 UNSAT
Goals: ((1, 2), (1, 4), (1, 5))		 UNSAT
Goals: ((1, 2), (1, 5), (1, 1))		 UNSAT
Goals: ((1, 2), (1, 5), (1, 3))		 UNSAT
Goals: ((1, 2), (1, 5), (1, 4))		 UNSAT
Goals: ((1, 3), (1, 1), (1, 2))		 UNSAT
Goals: ((1, 3), (1, 1), (1, 4))		 UNSAT
Goals: ((1, 3), (1, 1), (1, 5))		 SAT
Goals: ((1, 3), (1, 2), (1, 1))		 UNSAT
Goals: ((1, 3), (1, 2), (1, 4))		 UNSAT
Goals: ((1, 3), (1, 2), (1, 5))		 UNSAT
Goals: ((1, 3), (1, 4), (1, 1))		 UNSAT
Goals: ((1, 3), (1, 4), (1, 2))		 UNSAT
Goals: ((1, 3), (1, 4), (1, 5))		 UNSAT
Goals: ((1, 3), (1, 5), (1, 1))		 SAT
Goals: ((1, 3), (1, 5), (1, 2))		 UNSAT
Goals: ((1, 3), (1, 5), (1, 4))		 UNSAT
Goals: ((1, 4), (1, 1), (1, 2))		 UNSAT
Goals: ((1, 4), (1, 1), (1, 3))		 UNSAT
Goals: ((1, 4), (1, 1), (1, 5))		 UNSAT
Goals: ((1, 4), (1, 2), (1, 1))		 UNSAT
Goals: ((1, 4), (1, 2), (1, 3))		 UNSAT
Goals: ((1, 4), (1, 2), (1, 5))		 UNSAT
Goals: ((1, 4), (1, 3), (1, 1))		 UNSAT
Goals: ((1, 4), (1, 3), (1, 2))		 UNSAT
Goals: ((1, 4), (1, 3), (1, 5))		 UNSAT
Goals: ((1, 4), (1, 5), (1, 1))		 UNSAT
Goals: ((1, 4), (1, 5), (1, 2))		 UNSAT
Goals: ((1, 4), (1, 5), (1, 3))		 UNSAT
Goals: ((1, 5), (1, 1), (1, 2))		 UNSAT
Goals: ((1, 5), (1, 1), (1, 3))		 SAT
Goals: ((1, 5), (1, 1), (1, 4))		 UNSAT
Goals: ((1, 5), (1, 2), (1, 1))		 UNSAT
Goals: ((1, 5), (1, 2), (1, 3))		 UNSAT
Goals: ((1, 5), (1, 2), (1, 4))		 UNSAT
Goals: ((1, 5), (1, 3), (1, 1))		 SAT
Goals: ((1, 5), (1, 3), (1, 2))		 UNSAT
Goals: ((1, 5), (1, 3), (1, 4))		 UNSAT
Goals: ((1, 5), (1, 4), (1, 1))		 UNSAT
Goals: ((1, 5), (1, 4), (1, 2))		 UNSAT
Goals: ((1, 5), (1, 4), (1, 3))		 UNSAT
Goals: ((1, 1), (1, 2), (2, 2))		 UNSAT
Goals: ((1, 1), (1, 2), (2, 4))		 UNSAT
Goals: ((1, 1), (1, 3), (2, 2))		 UNSAT
Goals: ((1, 1), (1, 3), (2, 4))		 UNSAT
Goals: ((1, 1), (1, 4), (2, 2))		 UNSAT
Goals: ((1, 1), (1, 4), (2, 4))		 UNSAT
Goals: ((1, 1), (1, 5), (2, 2))		 SAT
Goals: ((1, 1), (1, 5), (2, 4))		 SAT
Goals: ((1, 2), (1, 1), (2, 2))		 UNSAT
Goals: ((1, 2), (1, 1), (2, 4))		 UNSAT
Goals: ((1, 2), (1, 3), (2, 2))		 UNSAT
Goals: ((1, 2), (1, 3), (2, 4))		 UNSAT
Goals: ((1, 2), (1, 4), (2, 2))		 UNSAT
Goals: ((1, 2), (1, 4), (2, 4))		 UNSAT
Goals: ((1, 2), (1, 5), (2, 2))		 UNSAT
Goals: ((1, 2), (1, 5), (2, 4))		 UNSAT
Goals: ((1, 3), (1, 1), (2, 2))		 UNSAT
Goals: ((1, 3), (1, 1), (2, 4))		 UNSAT
Goals: ((1, 3), (1, 2), (2, 2))		 UNSAT
Goals: ((1, 3), (1, 2), (2, 4))		 UNSAT
Goals: ((1, 3), (1, 4), (2, 2))		 UNSAT
Goals: ((1, 3), (1, 4), (2, 4))		 UNSAT
Goals: ((1, 3), (1, 5), (2, 2))		 UNSAT
Goals: ((1, 3), (1, 5), (2, 4))		 UNSAT
Goals: ((1, 4), (1, 1), (2, 2))		 UNSAT
Goals: ((1, 4), (1, 1), (2, 4))		 UNSAT
Goals: ((1, 4), (1, 2), (2, 2))		 UNSAT
Goals: ((1, 4), (1, 2), (2, 4))		 UNSAT
Goals: ((1, 4), (1, 3), (2, 2))		 UNSAT
Goals: ((1, 4), (1, 3), (2, 4))		 UNSAT
Goals: ((1, 4), (1, 5), (2, 2))		 UNSAT
Goals: ((1, 4), (1, 5), (2, 4))		 UNSAT
Goals: ((1, 5), (1, 1), (2, 2))		 SAT
Goals: ((1, 5), (1, 1), (2, 4))		 SAT
Goals: ((1, 5), (1, 2), (2, 2))		 UNSAT
Goals: ((1, 5), (1, 2), (2, 4))		 UNSAT
