Goals: [(3, 4), (4, 2), (1, 3)]		 SAT
Goals: [(2, 3), (3, 2), (1, 1)]		 UNSAT
Goals: [(2, 2), (2, 3), (3, 3)]		 UNSAT
Goals: [(3, 4), (3, 1), (2, 4)]		 SAT
Goals: [(1, 1), (2, 2), (2, 4)]		 SAT
Goals: [(2, 2), (3, 1), (1, 3)]		 UNSAT
Goals: [(2, 4), (1, 4), (1, 1)]		 SAT
Goals: [(3, 4), (3, 1), (3, 3)]		 SAT
Goals: [(4, 2), (3, 4), (3, 1)]		 UNSAT
Goals: [(3, 4), (4, 1), (3, 2)]		 UNSAT
Goals: [(3, 4), (2, 2), (4, 2)]		 SAT
Goals: [(3, 4), (3, 3), (2, 4)]		 UNSAT
Goals: [(2, 4), (2, 2), (4, 2)]		 SAT
Goals: [(3, 1), (4, 1), (2, 4)]		 SAT
Goals: [(3, 2), (2, 1), (4, 1)]		 UNSAT
Goals: [(4, 2), (2, 1), (3, 4)]		 UNSAT
Goals: [(2, 3), (2, 4), (3, 1)]		 UNSAT
Goals: [(1, 3), (4, 1), (4, 2)]		 SAT
Goals: [(3, 3), (3, 4), (1, 1)]		 SAT
Goals: [(2, 4), (4, 2), (1, 4)]		 SAT
Goals: [(3, 4), (1, 3), (1, 4)]		 SAT
Goals: [(1, 1), (2, 2), (2, 1)]		 UNSAT
Goals: [(2, 1), (4, 2), (1, 3)]		 UNSAT
Goals: [(2, 2), (3, 1), (3, 4)]		 UNSAT
Goals: [(1, 1), (2, 3), (3, 2)]		 UNSAT
Goals: [(3, 4), (3, 2), (3, 3)]		 UNSAT
Goals: [(1, 4), (2, 1), (2, 2)]		 UNSAT
Goals: [(4, 1), (4, 2), (3, 2)]		 UNSAT
Goals: [(2, 1), (2, 4), (1, 4)]		 UNSAT
Goals: [(1, 1), (2, 4), (4, 1)]		 SAT
Goals: [(2, 1), (3, 1), (3, 2)]		 UNSAT
Goals: [(4, 1), (2, 4), (3, 1)]		 SAT
Goals: [(3, 3), (1, 3), (4, 2)]		 SAT
Goals: [(4, 2), (3, 3), (1, 1)]		 SAT
Goals: [(2, 1), (3, 3), (1, 1)]		 UNSAT
Goals: [(3, 1), (1, 1), (1, 3)]		 SAT
Goals: [(1, 3), (3, 2), (1, 4)]		 UNSAT
Goals: [(3, 4), (2, 1), (3, 3)]		 UNSAT
Goals: [(4, 2), (2, 1), (3, 1)]		 UNSAT
Goals: [(4, 1), (2, 3), (1, 3)]		 UNSAT
Goals: [(1, 4), (3, 1), (3, 4)]		 SAT
Goals: [(1, 4), (1, 1), (1, 3)]		 SAT
Goals: [(1, 1), (3, 1), (3, 3)]		 SAT
Goals: [(4, 1), (1, 4), (3, 3)]		 SAT
Goals: [(2, 3), (3, 4), (4, 1)]		 UNSAT
Goals: [(4, 2), (2, 3), (3, 1)]		 UNSAT
Goals: [(1, 4), (3, 2), (2, 2)]		 UNSAT
Goals: [(3, 2), (3, 4), (2, 2)]		 UNSAT
Goals: [(3, 2), (1, 1), (4, 2)]		 SAT
Goals: [(3, 2), (1, 4), (4, 2)]		 UNSAT
Goals: [(1, 1), (4, 1), (2, 4)]		 SAT
Goals: [(1, 3), (1, 1), (2, 1)]		 UNSAT
Goals: [(1, 1), (2, 2), (2, 1)]		 UNSAT
Goals: [(1, 3), (1, 4), (4, 1)]		 SAT
Goals: [(1, 3), (3, 2), (4, 2)]		 UNSAT
Goals: [(1, 1), (3, 2), (3, 3)]		 SAT
Goals: [(3, 4), (2, 1), (2, 4)]		 UNSAT
Goals: [(3, 2), (2, 3), (1, 4)]		 UNSAT
Goals: [(2, 2), (2, 4), (3, 2)]		 UNSAT
Goals: [(1, 3), (3, 2), (3, 4)]		 UNSAT
Goals: [(2, 2), (3, 1), (1, 3)]		 UNSAT
Goals: [(4, 1), (1, 4), (3, 4)]		 SAT
Goals: [(3, 3), (2, 4), (1, 3)]		 UNSAT
Goals: [(2, 4), (3, 4), (3, 1)]		 SAT
Goals: [(4, 1), (4, 2), (2, 2)]		 SAT
Goals: [(1, 1), (4, 1), (3, 2)]		 UNSAT
Goals: [(2, 2), (2, 3), (3, 1)]		 UNSAT
Goals: [(4, 1), (2, 1), (3, 4)]		 UNSAT
Goals: [(4, 2), (3, 4), (3, 3)]		 SAT
Goals: [(1, 3), (4, 1), (4, 2)]		 SAT
Goals: [(2, 4), (3, 1), (3, 2)]		 UNSAT
Goals: [(1, 1), (2, 2), (2, 4)]		 SAT
Goals: [(1, 4), (1, 1), (2, 3)]		 UNSAT
Goals: [(2, 3), (3, 4), (3, 2)]		 UNSAT
Goals: [(1, 4), (2, 3), (4, 2)]		 UNSAT
Goals: [(2, 3), (2, 1), (3, 4)]		 UNSAT
Goals: [(2, 3), (2, 4), (4, 1)]		 UNSAT
Goals: [(2, 1), (1, 1), (3, 2)]		 UNSAT
Goals: [(4, 2), (2, 4), (2, 1)]		 UNSAT
Goals: [(2, 2), (2, 4), (3, 4)]		 SAT
Goals: [(3, 4), (1, 1), (2, 4)]		 SAT
Goals: [(1, 3), (4, 1), (3, 2)]		 UNSAT
Goals: [(3, 3), (2, 4), (2, 1)]		 UNSAT
Goals: [(3, 4), (1, 3), (4, 1)]		 SAT
Goals: [(4, 1), (2, 1), (3, 3)]		 UNSAT
Goals: [(2, 1), (1, 1), (1, 3)]		 UNSAT
Goals: [(3, 2), (1, 3), (1, 1)]		 SAT
Goals: [(3, 2), (3, 1), (2, 4)]		 UNSAT
Goals: [(4, 1), (3, 2), (2, 4)]		 UNSAT
Goals: [(2, 3), (4, 2), (3, 3)]		 UNSAT
Goals: [(3, 2), (2, 4), (3, 3)]		 UNSAT
Goals: [(2, 1), (2, 4), (3, 4)]		 UNSAT
Goals: [(3, 3), (2, 1), (2, 2)]		 UNSAT
Goals: [(4, 1), (3, 1), (4, 2)]		 UNSAT
Goals: [(1, 3), (3, 1), (3, 3)]		 SAT
Goals: [(2, 1), (4, 1), (3, 1)]		 UNSAT
Goals: [(1, 3), (2, 1), (1, 1)]		 UNSAT
Goals: [(2, 4), (3, 1), (2, 1)]		 UNSAT
Goals: [(4, 1), (4, 2), (2, 2)]		 SAT
Goals: [(1, 3), (2, 2), (2, 4)]		 UNSAT
